id,tipo,área (ambiente),area_m2,qtd_imovel (padrão 2Q+1B),acabamento (popular / médio / luxo / comercial),descrição da reforma (sem ampliação)
1,Apto,Sala + quartos,45,2Q+1B,Médio,"Pintura completa de paredes e tetos com preparo correto (proteção, lixamento, massa, selador, 2–3 demãos), pintura de portas/guarnições e limpeza técnica para entrega sem respingos"
2,Apto,Sala + quartos,42,2Q+1B,Popular,"Troca de piso vinílico/laminado clicado com manta simples, nivelamento pontual, rodapé econômico e perfis de transição; execução rápida e baixa sujeira"
3,Apto,Banheiro,5,2Q+1B,Médio,"Reforma de banheiro mantendo layout: demolição de revestimentos, impermeabilização (piso/box), novo revestimento, rejunte/silicone anti-mofo, reinstalação e teste de estanqueidade"
4,Apto,Cozinha,10,2Q+1B,Médio,"Troca de bancada, cuba e torneira, rodabanca, ajustes de marcenaria e revisão de sifões/vedações; organiza elétrica de bancada sem mudar hidráulica"
5,Apto,Banheiro,4,2Q+1B,Popular,"Troca de louças/metais com reaproveitamento: vaso/cuba/torneiras/chuveiro; revisão de registros, flexíveis e correção de rejunte/silicone sem quebra geral"
6,Apto,Sala + cozinha,28,2Q+1B,Médio,"Atualização de iluminação com LED e setorização de circuitos; instalação de trilho/spot, ajustes de interruptores e testes de carga"
7,Apto,Dormitórios,24,2Q+1B,Médio,"Vedação acústica leve: borrachas, escova de porta, calafetagem e ajustes de folgas; reduz ruído sem obra pesada"
8,Apto,Cozinha + lavanderia,14,2Q+1B,Luxo,"Marcenaria sob medida com ferragens premium, nichos para eletros, iluminação interna e acabamento alinhado; reforço de fixação e ajustes finos"
9,Apto,Sala + quartos,38,2Q+1B,Luxo,"Raspagem e restauração de piso madeira: calafetação, nivelamento, selador e verniz resistente; correção de rangidos e proteção de rodapés"
10,Apto,Geral,60,3Q+2B,Médio,"Troca de portas internas e ferragens com ajuste de prumo, folgas e vedação; acabamento e pintura final para padrão uniforme"
11,Apto,Lavanderia,6,2Q+1B,Popular,"Lavanderia funcional: tanque/bancada simples, armário superior, prateleiras, varal, revisão de sifão e pintura lavável"
12,Apto,Quarto/closet,9,3Q+2B,Médio,"Reconfiguração de closet: módulos internos, reforços, ajuste de portas e iluminação em LED para melhor uso do espaço"
13,Apto,Quadro elétrico + pontos,60,2Q+1B,Comercial,"Adequação elétrica: quadro, disjuntores, DR/DPS quando aplicável, identificação de circuitos e padronização de tomadas com testes"
14,Apto,Banheiro,5,2Q+1B,Médio,"Troca de box/espelho/acessórios com vedação correta, película de segurança e reforços; elimina vazamentos “invisíveis”"
15,Apto,Sala,18,1Q+1B,Luxo,"Parede de destaque (microcimento/papel premium), correção de base, selagem e iluminação dirigida para acabamento superior"
16,Casa,Interno + externo,180,3Q+2B,Médio,"Pintura interna/externa com correção de trincas superficiais, selagem, tinta adequada e calafetagem; inclui revisão básica de infiltrações"
17,Casa,Banheiros,14,3Q+2B,Médio,"Recuperação de áreas molhadas: refazer impermeabilização, recompor base e aplicar novos revestimentos; testes e correção de caimentos"
18,Casa,Área social,55,4Q+3B,Luxo,"Troca de piso por porcelanato grande formato com paginação, juntas e transições; rodapé diferenciado e rejunte premium"
19,Casa,Cozinha,16,3Q+2B,Médio,"Cozinha completa sem mudar layout: revestimentos, bancada, cuba/metais, marcenaria e ajustes elétricos para eletros"
20,Casa,Área de serviço,10,2Q+1B,Popular,"Área de serviço prática: bancada simples, tanque, armários básicos, tomadas extras e revisão de ralos/vedações"
21,Casa,Telhado,120,3Q+2B,Médio,"Revisão de cobertura: troca de telhas, rufos e calhas, vedação e testes; sem alterar estrutura do telhado"
22,Casa,Externo,80,3Q+2B,Comercial,"Revisão anti-infiltração: calhas/condutores, selantes, rejuntes externos e pintura impermeável em pontos críticos"
23,Casa,Varanda/quintal,35,3Q+2B,Médio,Piso externo antiderrapante com correção de caimento e revisão de ralos; acabamento para reduzir mofo e escorregamento
24,Casa,Banheiro,6,2Q+2B,Comercial,"Adequação de acessibilidade: barras, acessórios, piso antiderrapante e iluminação reforçada sem mover hidráulica"
25,Casa,Janelas/portas,30,3Q+2B,Luxo,"Troca de esquadrias por melhor vedação térmica/acústica, selagem perimetral e acabamento interno/externo"
26,Casa,Entrada/garagem,25,3Q+2B,Médio,"Modernização de portão: revisão mecânica, automatizador, elétrica dedicada, fotocélula e travas com testes"
27,Casa,Sala + quartos,70,3Q+2B,Médio,"Forro de gesso e iluminação, pintura e pontos extras de tomada; muda percepção do ambiente sem mexer em estrutura"
28,Casa,Escada,12,4Q+3B,Luxo,"Retrofit de escada: revestimento, corrimão, iluminação de balizamento e revisão de fixações"
29,Casa,Jardim/quintal,60,3Q+2B,Médio,"Paisagismo leve: canteiros, poda, drenagem superficial simples, irrigação básica e iluminação externa"
30,Casa,Lavabo,3,4Q+3B,Luxo,"Lavabo de impacto: bancada/cuba premium, metais, revestimento decorativo, espelho e iluminação cênica"
31,Escritório,Open space,120,0Q+2B,Comercial,"Reorganização de layout sem quebra: estações, circulação, ergonomia e pontos de energia; checklist de TI e áreas silenciosas"
32,Escritório,Recepção,30,0Q+2B,Comercial,"Retrofit de recepção: balcão, painel, iluminação, pintura e sinalização; organização de cabos e pontos para TV/totem"
33,Escritório,Geral,160,0Q+2B,Comercial,"Tratamento acústico: painéis, baffles, vedação de portas e carpete modular; reduz eco e distrações"
34,Escritório,Geral,140,0Q+2B,Comercial,"Piso em carpete modular com preparo de base, rodapés e transições; plano de manutenção e troca pontual de placas"
35,Escritório,Infra elétrica/dados,150,0Q+2B,Comercial,"Infra elétrica e rede: novos pontos, canaletas organizadas, identificação de circuitos e pontos dedicados para TI"
36,Escritório,Geral,180,0Q+2B,Comercial,"Iluminação corporativa: LED linear, setorização, redução de ofuscamento e ajustes para videoconferência"
37,Escritório,Sala de reunião,25,0Q+2B,Comercial,"Sala de reunião híbrida: painel de TV, energia/dados, acústica mínima, iluminação para câmera e passa-cabos"
38,Escritório,Copa,18,0Q+2B,Comercial,"Copa funcional: bancada, armários, cuba, revestimento lavável, elétrica dedicada e ventilação"
39,Escritório,Banheiros,16,0Q+4B,Comercial,"Reforma de banheiros: louças/metais resistentes, vedação, acessórios e iluminação; foco em durabilidade"
40,Escritório,Geral,200,0Q+2B,Commercial,Identidade visual: pintura/adesivagem/sinalização e ambientação leve sem obra pesada
41,Apto,Banheiro/cozinha,12,2Q+1B,Popular,"Troca de rejuntes e silicones (anti-mofo), selagem de cantos, revisão de sifões e testes com água"
42,Apto,Porta de entrada,2,2Q+1B,Médio,"Instalação de fechadura eletrônica com ajustes de batente, reforço, configuração e teste de emergência"
43,Apto,Quarto/sala,25,2Q+1B,Médio,"Instalação de ar-condicionado split: elétrica dedicada, dreno, tubulação (infra existente/aparente) e testes de ruído"
44,Casa,Aquecimento,8,3Q+2B,Médio,"Troca de aquecedor/boiler com revisão de registros e conexões, adequação de ventilação e testes de vazamento"
45,Casa,Geral,120,2Q+1B,Popular,"Tratamento de fissuras não estruturais com selante flexível, recomposição e pintura; inclui orientação de monitoramento"
46,Escritório,Geral,220,0Q+2B,Comercial,"Adequação de acessibilidade: circulação, altura de balcão, sinalização, barras e iluminação sem mexer em estrutura"
