id,tipo,área (ambiente),area_m2,qtd_imovel (padrão 2Q+1B),acabamento (popular / médio / luxo / comercial),descrição da reforma (sem ampliação)
1,Apto,Quarto,14.0,3Q+3B,Luxo,"Suíte integrada: piso madeira, painel ripado, closet iluminado, automação de iluminação e cortinas"
2,Apto,Quarto,12.0,3Q+2B,Popular,"Quarto básico: pintura, piso vinílico sobreposto, rodapé, luminárias novas"
3,Casa,Living integrado,51.0,4Q+3B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
4,Casa,Quarto,16.0,2Q+1B,Luxo,"Suíte integrada: piso madeira, painel ripado, closet iluminado, automação de iluminação e cortinas"
5,Casa,Área gourmet,17.0,3Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
6,Apto,Quarto,17.0,2Q+1B,Luxo,"Suíte integrada: piso madeira, painel ripado, closet iluminado, automação de iluminação e cortinas"
7,Casa,Geral,176.0,4Q+3B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de banheiros, marcenaria de cozinha"
8,Apto,Banheiro,7.0,3Q+3B,Luxo,"Banheiro premium: porcelanato grande formato, metais de design, box até o teto, nicho iluminado, ducha higiênica"
9,Apto,Sala + cozinha integradas,36.0,3Q+3B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
10,Casa,Piscina,41.0,2Q+1B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de piscina de banheiros, marcenaria de cozinha"
11,Apto,Sala,25.0,3Q+2B,Luxo,"Living premium: porcelanato grande formato, sanca, automação, lareira ecológica, marcenaria de TV premium"
12,Casa,Banheiro,9.0,3Q+3B,Popular,"Reforma básica de banheiro: pintura de azulejos, troca de louças/metais econômicos, box acrílico"
13,Casa,Suíte master,33.0,2Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
14,Casa,Edícula,32.0,3Q+3B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
15,Casa,Garagem,36.0,2Q+1B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
16,Apto,Banheiro social,4.0,2Q+1B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de banheiro social de banheiros, marcenaria de cozinha"
17,Apto,Home office,8.0,2Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
18,Apto,Lavanderia,5.0,3Q+2B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
19,Apto,Suíte,17.0,2Q+1B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de suíte de banheiros, marcenaria de cozinha"
20,Casa,Varanda,10.0,2Q+2B,Médio,"Reforma completa: pintura, troca de pisos áreas sociais, reforma de varanda de banheiros, marcenaria de cozinha"
21,Casa,Garagem,30.0,2Q+2B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
22,Apto,Geral,110.0,2Q+2B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
23,Apto,Banheiro social,4.0,3Q+2B,Popular,"Reforma rápida: pintura geral, troca de luminárias, revisão elétrica, pequenos reparos"
24,Casa,Banheiro suíte,8.0,3Q+2B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
25,Apto,Cozinha americana,12.0,2Q+1B,Luxo,"Retrofit completo: demolição, novo projeto de interiores, materiais premium, automação residencial"
26,Apto,Banheiro,5.0,1Q+1B,Médio,"Reforma completa de banheiro: demolição, impermeabilização, porcelanato, louças/metais de qualidade, box vidro"
